ID,Syn
"2,DOID:0040046,DOID:0040056","[""""""nickel allergic contact dermatitis"""""",""""""allergic contact dermatitis to Ni""""""],[""""""chromium allergic contact dermatitis""""""]"
"2,ICD10_CM:A00,ICD10:A00","[""""""Cholera""""""],[""""""Cholera""""""]"
"2,ICD10_CM:A00.0,ICD10:A00.0","[""""""Cholera due to Vibrio cholerae 01, biovar cholerae"""""",""""""Classical cholera""""""],[""""""Cholera due to Vibrio cholerae 01, biovar cholerae"""""",""""""Classical cholera""""""]"
"2,ICD10_CM:A00.1,ICD10:A00.1","[""""""Cholera due to Vibrio cholerae 01, biovar eltor"""""",""""""Cholera eltor""""""],[""""""Cholera due to Vibrio cholerae 01, biovar eltor"""""",""""""Cholera eltor""""""]"
"2,ICD10:A00.9,ICD10_CM:A00.9","[""""""Cholera, unspecified""""""],[""""""Cholera, unspecified""""""]"
"2,ICD10:A01,ICD10_CM:A01","[""""""Typhoid and paratyphoid fevers""""""],[""""""Typhoid and paratyphoid fevers""""""]"
"2,ICD10_CM:A01.0,ICD10:A01.0","[""""""Infection due to Salmonella typhi"""""",""""""Typhoid fever""""""],[""""""Infection due to Salmonella typhi"""""",""""""Typhoid fever""""""]"
"2,ICD10:A01.1,ICD10_CM:A01.1","[""""""Paratyphoid fever A""""""],[""""""Paratyphoid fever A""""""]"
"2,ICD10_CM:A01.2,ICD10:A01.2","[""""""Paratyphoid fever B""""""],[""""""Paratyphoid fever B""""""]"
"2,ICD10:A01.3,ICD10_CM:A01.3","[""""""Paratyphoid fever C""""""],[""""""Paratyphoid fever C""""""]"
"2,ICD10:A01.4,ICD10_CM:A01.4","[""""""Paratyphoid fever, unspecified"""""",""""""Infection due to Salmonella paratyphi NOS""""""],[""""""Paratyphoid fever, unspecified"""""",""""""Infection due to Salmonella paratyphi NOS""""""]"
"2,ICD10:A02.0,ICD10_CM:A02.0","[""""""Salmonellosis"""""",""""""Salmonella enteritis""""""],[""""""Salmonellosis"""""",""""""Salmonella enteritis""""""]"
"2,ICD10_CM:A02.1,ICD10:A02.1","[""""""Salmonella sepsis""""""],[""""""Salmonella sepsis""""""]"
"2,ICD10_CM:A02.2,ICD10_CM:A02.29","[""""""Localized salmonella infections""""""],[""""""Salmonella with other localized infection""""""]"
